type,file,line,issue,severity,fix
unhandled-promise,src/data/adapters/analytics.adapter.ts,63,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/analytics.adapter.ts,74,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/analytics.adapter.ts,88,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/analytics.adapter.ts,102,Async function call without await,Medium,Add await or handle promise rejection
unhandled-fetch,src/data/adapters/enterprise.adapter.ts,24,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-promise,src/data/adapters/enterprise.adapter.ts,63,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/enterprise.adapter.ts,74,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/enterprise.adapter.ts,88,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/enterprise.adapter.ts,102,Async function call without await,Medium,Add await or handle promise rejection
unhandled-fetch,src/data/adapters/general.adapter.ts,24,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-promise,src/data/adapters/general.adapter.ts,62,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/general.adapter.ts,73,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/general.adapter.ts,87,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/general.adapter.ts,101,Async function call without await,Medium,Add await or handle promise rejection
unhandled-fetch,src/data/adapters/leave.adapter.ts,24,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-promise,src/data/adapters/leave.adapter.ts,64,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/leave.adapter.ts,75,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/leave.adapter.ts,89,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/leave.adapter.ts,103,Async function call without await,Medium,Add await or handle promise rejection
unhandled-fetch,src/data/adapters/weather.adapter.ts,24,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-promise,src/data/adapters/weather.adapter.ts,64,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/weather.adapter.ts,75,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/weather.adapter.ts,89,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/data/adapters/weather.adapter.ts,103,Async function call without await,Medium,Add await or handle promise rejection
unhandled-fetch,src/hooks/useAuthenticatedFetch.ts,10,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/hooks/useAuthenticatedFetch.ts,35,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/hooks/useBriefingManager.ts,72,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/hooks/useBriefingManager.ts,97,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/hooks/useBriefingManager.ts,132,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/hooks/useBriefingManager.ts,196,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/hooks/useBriefingManager.ts,275,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/hooks/useBriefingManager.ts,300,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/hooks/useBriefingManager.ts,324,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/hooks/useBriefingManager.ts,349,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/lib/integrations/github.ts,36,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-fetch,src/lib/integrations/slack.ts,23,Fetch call without error handling,Medium,Add try/catch or .catch() handler
unhandled-promise,src/utils/accessibilityComplianceManager.ts,362,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/accessibilityComplianceManager.ts,381,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/accessibilityComplianceManager.ts,407,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/accessibilityComplianceManager.ts,471,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/accessibilityComplianceManager.ts,507,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/accessibilityComplianceManager.ts,534,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/accessibilityComplianceManager.ts,566,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/accessibilityComplianceManager.ts,860,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,277,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,340,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,366,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,380,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,408,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,457,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,499,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,526,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,570,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,611,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,648,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,687,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,699,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,713,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,818,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,932,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,964,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIFeaturesManager.ts,1033,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,260,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,305,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,368,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,384,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,400,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,406,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,468,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,520,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,593,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,609,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,652,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,684,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,721,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,755,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,789,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,795,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,859,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,989,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,1005,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,1024,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,1125,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAIMachineLearningManager.ts,1147,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,250,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,324,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,438,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,464,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,476,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,488,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,493,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,498,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,504,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,517,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,522,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,543,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,593,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,614,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,658,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,664,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,678,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,690,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,695,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,701,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,727,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,743,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,749,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,770,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,791,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,797,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,838,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,879,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAccessibilityFeaturesManager.ts,905,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsBIManager.ts,600,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsBIManager.ts,656,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsBIManager.ts,657,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsBIManager.ts,658,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsBIManager.ts,732,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsBIManager.ts,780,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsBIManager.ts,814,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsBIManager.ts,848,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsBIManager.ts,881,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsBIManager.ts,997,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,285,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,298,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,375,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,389,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,405,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,410,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,416,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,438,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,454,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,459,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,473,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,490,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,506,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,512,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,548,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,584,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,590,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,612,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,629,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,635,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,661,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,667,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,700,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,706,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,724,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,743,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,772,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,785,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsDashboardManager.ts,811,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,281,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,293,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,308,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,323,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,328,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,334,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,348,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,359,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,364,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,370,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,384,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,390,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,404,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,410,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,424,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,430,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,444,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,450,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,463,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,478,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,484,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,527,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsManager.ts,551,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,250,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,284,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,313,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,332,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,342,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,347,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,377,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,428,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,450,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,460,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,465,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,540,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,573,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,631,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,642,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,658,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,669,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,675,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,828,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,883,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,951,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,962,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,982,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,1078,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAnalyticsReportingManager.ts,1098,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,337,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,378,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,541,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,563,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,575,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,580,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,585,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,601,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,622,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,639,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,644,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,650,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,680,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,695,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,700,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,705,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,711,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,727,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,768,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,788,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,793,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,799,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,832,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,843,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,849,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,862,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,867,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,910,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,926,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,960,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,965,Async function call without await,Medium,Add await or handle promise rejection
unhandled-promise,src/utils/advancedAuthenticationSecurityManager.ts,971,Async function call without await,Medium,Add await or handle promise rejection
