type,route,file_path,component,issue,severity,fix
unused-imports,,src/components/advanced/EnterpriseIntegrationHub.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ai/AIContentGeneration.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ai/AIPoweredEnhancements.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ai/AIProductivityAssistant.tsx,startVoiceListening,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ai/AdvancedAIIntegration.tsx,Unknown,Component has 71 unused imports,Low,Remove unused imports
unused-imports,,src/components/ai/AdvancedAIMachineLearning.tsx,Unknown,Component has 126 unused imports,Low,Remove unused imports
unused-imports,,src/components/ai/IntelligentAutomationEngine.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ai/PredictiveAnalyticsInsights.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/analytics/AIPoweredInsights.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/analytics/AdvancedAnalyticsBusinessIntelligence.tsx,Unknown,Component has 79 unused imports,Low,Remove unused imports
unused-imports,,src/components/analytics/AdvancedAnalyticsDashboard.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/analytics/AdvancedBusinessIntelligence.tsx,Unknown,Component has 38 unused imports,Low,Remove unused imports
unused-imports,,src/components/analytics/BusinessIntelligence.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/analytics/CustomReportCreation.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/analytics/MultiFormatDataExport.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/analytics/PredictiveAnalytics.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/api/ApiV2Release.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/automation/AdvancedAutomation.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/beta/BetaUserRecruitment.tsx,Unknown,Component has 14 unused imports,Low,Remove unused imports
unused-imports,,src/components/beta/FeedbackCollector.tsx,addSuggestion,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/blockchain/BlockchainIntegration.tsx,Unknown,Component has 69 unused imports,Low,Remove unused imports
unused-imports,,src/components/business/BusinessDevelopment.tsx,Unknown,Component has 18 unused imports,Low,Remove unused imports
unused-imports,,src/components/collaboration/AdvancedCollaborationTools.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/customer/CustomerSuccessRetentionProgram.tsx,Unknown,Component has 81 unused imports,Low,Remove unused imports
unused-imports,,src/components/customersuccess/CustomerSuccessRetentionProgram.tsx,Unknown,Component has 37 unused imports,Low,Remove unused imports
unused-imports,,src/components/deployment/PlatformDocumentationDeployment.tsx,Unknown,Component has 6 unused imports,Low,Remove unused imports
unused-imports,,src/components/documentation/PlatformOptimizationDocumentation.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/enterprise/AdvancedAnalyticsReporting.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/enterprise/AdvancedEnterpriseSecurity.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/enterprise/EnterpriseAdminDashboard.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/enterprise/EnterpriseAdvancedFeatures.tsx,Unknown,Component has 76 unused imports,Low,Remove unused imports
unused-imports,,src/components/enterprise/EnterpriseIntegration.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/enterprise/EnterpriseSSOSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/enterprise/RoleBasedAccessControl.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/enterprise/SecurityAuditLogging.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/enterprise/WhiteLabelSolutions.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/future/AIPoweredInsights.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/future/ARVRIntegration.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/future/BlockchainFeatures.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/future/IoTIntegration.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/future/QuantumComputing.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/gamification/AchievementSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/gamification/GamingElements.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/gamification/LeaderboardsSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/gamification/SocialFeatures.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/gamification/VirtualRewardsSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/global/CurrencySupport.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/global/MultiLanguageSupport.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/global/RegionalCompliance.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/global/TimeZoneManagement.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/integrations/APIMarketplace.tsx,createStandupTasks,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/integrations/AdvancedIntegrationsHub.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/integrations/SyncScriptSDK.tsx,createTaskFromEvent,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/integrations/ThirdPartyIntegrationsHub.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/integrations/WebhookSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/international/InternationalExpansion.tsx,Unknown,Component has 54 unused imports,Low,Remove unused imports
unused-imports,,src/components/launch/LaunchExecutionMarketEntry.tsx,Unknown,Component has 26 unused imports,Low,Remove unused imports
unused-imports,,src/components/launch/ProductionDeploymentLaunch.tsx,Unknown,Component has 21 unused imports,Low,Remove unused imports
unused-imports,,src/components/marketing/MarketingLaunchPreparation.tsx,Unknown,Component has 12 unused imports,Low,Remove unused imports
unused-imports,,src/components/marketplace/AppMarketplace.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/marketplace/CommunityHub.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/marketplace/DeveloperPortal.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/marketplace/PluginSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/marketplace/RevenueSharing.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/mobile/CrossPlatformSync.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/mobile/MobileAppFoundation.tsx,calculateEstimatedTime,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/mobile/MobilePushNotifications.tsx,testNotification,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/mobile/MobileSpecificFeatures.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/mobile/OfflineFirstArchitecture.tsx,setupEventListeners,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/mobile/OfflineSynchronizationSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/mobile/PWAFoundation.tsx,setupEventListeners,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/mobile/ReactNativeMobileAppFoundation.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/mobile/TouchGesturesSystem.tsx,setupTouchListeners,Component has 2 unused imports,Low,Remove unused imports
unused-imports,,src/components/optimization/CodeQualityRefactoringSystem.tsx,UserProfileComponent,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/optimization/DocumentationDeploymentSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/optimization/ErrorHandlingResilienceSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/optimization/FinalPlatformOptimization.tsx,Unknown,Component has 12 unused imports,Low,Remove unused imports
unused-imports,,src/components/optimization/PerformanceOptimizationSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/optimization/TestingValidationSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/partnerships/PartnershipActivation.tsx,Unknown,Component has 32 unused imports,Low,Remove unused imports
unused-imports,,src/components/payments/RevenueAnalytics.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/payments/StripePaymentIntegration.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/payments/SubscriptionManagement.tsx,getCurrentPlan,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/performance/AdvancedPerformanceOptimization.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/realtime/InstantNotificationsSystem.tsx,markAllAsRead,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/realtime/LivePresenceSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/realtime/RealTimeUpdatesSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/realtime/WebSocketIntegration.tsx,initializeWebSocket,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/revenue/RevenueScaling.tsx,Unknown,Component has 48 unused imports,Low,Remove unused imports
unused-imports,,src/components/sales/EnterpriseSalesAcceleration.tsx,Unknown,Component has 26 unused imports,Low,Remove unused imports
unused-imports,,src/components/security/AdvancedAuthenticationSecurity.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/security/AdvancedSecurityFeatures.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/security/DataPrivacyControls.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/security/SecurityAuditDashboard.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/teams/CollaborativeProjectManagement.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/teams/TeamAnalyticsDashboard.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/teams/TeamCreationSystem.tsx,handleAddInviteMember,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/teams/TeamMemberManagement.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/teams/WorkspaceIsolationSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/testing/SystemIntegrationTesting.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/AIWritingAssistant.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/AuditLogsViewer.tsx,Unknown,Component has 3 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/CalendarSync.tsx,CalendarSync,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/CreateTaskModal.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/CustomBrandingEditor.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/DataExport.tsx,handleExport,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/EditTaskModal.tsx,handleClose,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/EnhancedWelcomeTour.tsx,handleNext,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/ExplanationModal.tsx,ExplanationModal,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/FileSharingHub.tsx,Unknown,Component has 3 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/FocusModePro.tsx,startSession,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/KanbanBoard.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/KnowledgeBaseWiki.tsx,Unknown,Component has 2 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/MeetingManager.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/PeerRecognitionSystem.tsx,Unknown,Component has 5 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/PermissionsManager.tsx,Unknown,Component has 2 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/PlatformMarketplace.tsx,Unknown,Component has 2 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/PolishShowcase.tsx,PolishShowcase,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/SmartScheduler.tsx,SmartScheduler,Component has 2 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/StandupBot.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/TeamCalendarSyncHub.tsx,Unknown,Component has 2 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/TeamCollaboration.tsx,TeamCollaboration,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/TeamGoalsDashboard.tsx,Unknown,Component has 2 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/ThemeSettings.tsx,Unknown,Component has 2 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/UnifiedCommandCenter.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ui/VoiceCommandsCenter.tsx,VoiceCommandsCenter,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ultimate/UltimatePlatformCompletion.tsx,Unknown,Component has 14 unused imports,Low,Remove unused imports
unused-imports,,src/components/ux/AdvancedAccessibilityFeatures.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ux/AdvancedUIUXComponents.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ux/OnboardingTutorialSystem.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ux/PersonalizationEngine.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/ux/UserExperienceAnalytics.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/validation/MarketValidation.tsx,Unknown,Component has 80 unused imports,Low,Remove unused imports
unused-imports,,src/components/whitelabel/WhiteLabelSystem.tsx,generateCSSVariables,Component has 1 unused imports,Low,Remove unused imports
unused-imports,,src/components/workspace/CustomWorkspaceLayout.tsx,Unknown,Component has 1 unused imports,Low,Remove unused imports
